"glosa","te","superficie","ovinos","bovinos"
"Alto Bío-Bío",1,161659.68,8092,7736
"Alto Bío-Bío",2,44214.8,881,1327
"Alto Bío-Bío",3,0,45,45
"Alto Bío-Bío",5,12451.1,0,0
"Antuco",1,67807.4,1211,1993
"Antuco",2,9449.69,22,57
"Antuco",3,0,0,0
"Antuco",5,12883,0,0
"Cabrero",1,33278.04,1383,16849
"Cabrero",2,26802.78,5,135
"Cabrero",3,0,0,0
"Laja",1,16540.64,1953,5818
"Laja",2,12741.56,0,52
"Laja",3,0,0,166
"Laja",4,0.1,0,0
"Los Angeles",1,120432.71,3640,87098
"Los Angeles",2,20205.1,13,219
"Los Angeles",3,0,0,9
"Los Angeles",4,19.4,0,0
"Mulchén",1,87515.1,5472,28562
"Mulchén",2,101300.3,149,279
"Mulchén",3,0,22,41
"Mulchén",4,10,0,0
"Nacimiento",1,25258.2,2535,4027
"Nacimiento",2,47295.23,155,266
"Nacimiento",3,0,0,3
"Negrete",1,10213.42,564,7424
"Negrete",2,1875.2,0,0
"Negrete",3,0,0,42
"Quilaco",1,21624.2,5078,5765
"Quilaco",2,70669.92,71,428
"Quilaco",3,0,135,359
"Quilaco",4,18.1,0,0
"Quilleco",1,46422.6399999999,8635,17881
"Quilleco",2,51873.11,99,161
"Quilleco",4,1089.7,0,0
"San Rosendo",1,3101.07,52,314
"San Rosendo",2,4809.14,0,10
"Santa Bárbara",1,91126.6000000003,9540,15316
"Santa Bárbara",2,30337.87,273,678
"Santa Bárbara",3,0,12,37
"Santa Bárbara",4,45.5,0,0
"Tucapel",1,76164.0399999999,8941,5436
"Tucapel",2,46603.55,12,60
"Tucapel",3,0,18,16
"Tucapel",4,7.8,0,0
"Yumbel",1,31260.98,1462,7899
"Yumbel",2,25284.95,1,52
"Yumbel",3,0,3,167
"Yumbel",4,7.1,0,0
